customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score
CUST-0001,2019-01-15,Referral,2020-01-15,Standard,Annual,,,12.99,820,18
CUST-0002,2019-02-03,Organic,2019-03-05,Basic,Monthly,2020-06-10,No Longer Interested,7.49,210,67
CUST-0003,2019-02-27,Paid,2020-02-27,Premium,Annual,,,19.99,1450,22
CUST-0004,2019-03-12,Referral,2020-03-10,Standard,Annual,2021-04-18,Too Expensive,13.49,560,54
CUST-0005,2019-03-28,Organic,2019-04-28,Basic,Monthly,2019-07-02,Forgot to Cancel Trial,6.99,95,71
CUST-0006,2019-04-10,Referral,2020-04-11,Premium,Annual,,,21.99,2100,15
CUST-0007,2019-04-22,Paid,2019-05-22,Standard,Monthly,2020-01-03,Switched to Competitor,11.99,380,63
CUST-0008,2019-05-09,Organic,2020-05-08,Standard,Annual,,,12.49,970,27
CUST-0009,2019-05-30,Referral,2019-06-29,Basic,Monthly,2021-01-15,Too Expensive,8.99,340,58
CUST-0010,2019-06-14,Paid,2020-06-16,Premium,Annual,2022-02-20,Lack of Content,18.49,1320,46
CUST-0011,2019-06-27,Organic,2019-07-27,Basic,Monthly,,,5.99,410,29
CUST-0012,2019-07-05,Referral,2020-07-04,Standard,Annual,2023-03-18,Switched to Competitor,14.99,890,52
CUST-0013,2019-07-19,Referral,2019-08-18,Standard,Monthly,2019-11-25,No Longer Interested,10.49,175,69
CUST-0014,2019-08-01,Paid,2020-08-01,Premium,Annual,,,22.99,2350,11
CUST-0015,2019-08-16,Unknown,2019-09-16,Basic,Monthly,2019-10-20,Forgot to Cancel Trial,7.99,120,74
CUST-0016,2019-08-29,Organic,2020-08-30,Standard,Annual,,,15.49,1040,25
CUST-0017,2019-09-07,Referral,2019-10-09,Premium,Monthly,2020-09-15,Too Expensive,19.49,640,61
CUST-0018,2019-09-21,Referral,2020-09-20,Standard,Annual,,,11.99,780,23
CUST-0019,2019-10-02,Paid,2019-11-02,Basic,Monthly,2020-01-28,Payment Issues,6.49,135,68
CUST-0020,2019-10-18,Organic,2020-10-17,Premium,Annual,2021-09-05,Moved to Family Plan,17.99,1190,43
CUST-0021,2019-11-01,Referral,2019-12-01,Standard,Monthly,2022-04-22,No Longer Interested,13.99,510,57
CUST-0022,2019-11-15,Referral,2020-11-14,Premium,Annual,,,23.49,2560,9
CUST-0023,2019-11-27,Organic,2019-12-28,Basic,Monthly,,,5.49,390,26
